pits,back_propagation,heuristics,c,policy,iterations,seed,num_games,type_system,sts_size,mm_level,domain, max_alg, min_alg, num_of_games,num_of_draws,num_of_incomplete,max_win,min_win,total_win_games,max_time,min_time
6,2,2,2.5,2,10000,0,100,2,500,7,0,BFB,MINMAX,100,59,0,0.243902,0.756098,10,0.034436,0.035636
6,2,2,2.5,2,10000,0,100,2,700,3,0,BFB,MINMAX,100,26,0,0.945946,0.054054,70,0.033297,0.042099
6,2,2,2.5,2,10000,0,100,2,700,4,0,BFB,MINMAX,100,31,0,0.956522,0.043478,66,0.034610,0.043559
6,2,2,2.5,2,10000,0,100,2,700,5,0,BFB,MINMAX,100,50,0,0.780000,0.220000,39,0.031146,0.036947
6,2,2,2.5,2,10000,0,100,2,700,6,0,BFB,MINMAX,100,50,0,0.620000,0.380000,31,0.031209,0.036234
6,2,2,2.5,2,10000,0,100,2,700,7,0,BFB,MINMAX,100,51,0,0.346939,0.653061,17,0.030924,0.033064
6,2,2,2.5,2,1000,0,100,2,1000,3,0,BFB,MINMAX,100,21,0,0.987342,0.012658,78,0.006258,0.007115
6,2,2,2.5,2,1000,0,100,2,1000,4,0,BFB,MINMAX,100,45,0,0.945455,0.054545,52,0.002553,0.002874
6,2,2,2.5,2,1000,0,100,2,1000,5,0,BFB,MINMAX,100,54,0,0.826087,0.173913,38,0.002635,0.002705
6,2,2,2.5,2,1000,0,100,2,1000,6,0,BFB,MINMAX,100,70,0,0.466667,0.533333,14,0.002589,0.002749
6,2,2,2.5,2,1000,0,100,2,1000,7,0,BFB,MINMAX,100,57,0,0.302326,0.697674,13,0.002898,0.003030
6,2,2,2.5,2,1000,0,100,2,100,3,0,BFB,MINMAX,100,44,0,0.857143,0.142857,48,0.006160,0.007373
6,2,2,2.5,2,1000,0,100,2,100,4,0,BFB,MINMAX,100,59,0,0.439024,0.560976,18,0.002512,0.002884
6,2,2,2.5,2,1000,0,100,2,100,5,0,BFB,MINMAX,100,60,0,0.275000,0.725000,11,0.002694,0.002741
