pits,heuristics,c,policy,iterations,seed,num_games,type_system,sts_size,domain, max_alg, min_alg, mm_level ,num_of_games,num_of_draws,num_of_incomplete,max_win,min_win,total_win_games
6,2,0.5,3,5000,0,100,2,5000,0,BFB,MINMAX,3,100,15,0,0.988235,0.011765,84
6,2,0.5,3,5000,0,100,2,500,0,BFB,MINMAX,3,100,34,0,0.954545,0.045455,63
6,2,0.5,3,5000,0,100,2,700,0,BFB,MINMAX,3,100,22,0,0.948718,0.051282,74
6,2,2.5,1,100000,0,100,2,1000,0,BFB,MINMAX,3,100,22,0,0.987179,0.012821,77
6,2,2.5,1,100000,0,100,2,100,0,BFB,MINMAX,3,100,38,0,0.83871,0.16129,52
6,2,2.5,1,100000,0,100,2,5000,0,BFB,MINMAX,3,100,24,0,0.986842,0.013158,75
6,2,2.5,1,100000,0,100,2,500,0,BFB,MINMAX,3,100,25,0,0.986667,0.013333,74
6,2,2.5,1,100000,0,100,2,700,0,BFB,MINMAX,3,100,24,0,0.973684,0.026316,74
6,2,2.5,1,10000,0,100,2,1000,0,BFB,MINMAX,3,100,21,0,0.987342,0.012658,78
6,2,2.5,1,10000,0,100,2,100,0,BFB,MINMAX,3,100,44,0,0.839286,0.160714,47
6,2,2.5,1,10000,0,100,2,5000,0,BFB,MINMAX,3,100,21,0,1,0,79
6,2,2.5,1,10000,0,100,2,500,0,BFB,MINMAX,3,100,26,0,0.959459,0.040541,71
6,2,2.5,1,10000,0,100,2,700,0,BFB,MINMAX,3,100,22,0,0.974359,0.025641,76
6,2,2.5,1,1000,0,100,2,1000,0,BFB,MINMAX,3,100,31,0,0.985507,0.014493,68
6,2,2.5,1,1000,0,100,2,100,0,BFB,MINMAX,3,100,31,0,0.797101,0.202899,55
6,2,2.5,1,1000,0,100,2,5000,0,BFB,MINMAX,3,100,16,0,0.988095,0.011905,83
6,2,2.5,1,1000,0,100,2,500,0,BFB,MINMAX,3,100,31,0,0.971014,0.028986,67
6,2,2.5,1,1000,0,100,2,700,0,BFB,MINMAX,3,100,24,0,0.973684,0.026316,74
6,2,2.5,1,15000,0,100,2,1000,0,BFB,MINMAX,3,100,21,0,0.962025,0.037975,76
6,2,2.5,1,15000,0,100,2,100,0,BFB,MINMAX,3,100,51,0,0.816327,0.183673,40
6,2,2.5,1,15000,0,100,2,5000,0,BFB,MINMAX,3,100,17,0,0.987952,0.012048,82
6,2,2.5,1,15000,0,100,2,500,0,BFB,MINMAX,3,100,24,0,0.960526,0.039474,73
6,2,2.5,1,15000,0,100,2,700,0,BFB,MINMAX,3,100,26,0,0.959459,0.040541,71
6,2,2.5,1,5000,0,100,2,1000,0,BFB,MINMAX,3,100,29,0,0.985915,0.014085,70
6,2,2.5,1,5000,0,100,2,100,0,BFB,MINMAX,3,100,47,0,0.886792,0.113208,47
6,2,2.5,1,5000,0,100,2,5000,0,BFB,MINMAX,3,100,19,0,0.987654,0.012346,80
6,2,2.5,1,5000,0,100,2,500,0,BFB,MINMAX,3,100,31,0,0.985507,0.014493,68
6,2,2.5,1,5000,0,100,2,700,0,BFB,MINMAX,3,100,25,0,0.986667,0.013333,74
6,2,2.5,2,100000,0,100,2,1000,0,BFB,MINMAX,3,100,24,0,0.986842,0.013158,75
6,2,2.5,2,100000,0,100,2,100,0,BFB,MINMAX,3,100,43,0,0.929825,0.070175,53
6,2,2.5,2,100000,0,100,2,5000,0,BFB,MINMAX,3,100,22,0,1,0,78
6,2,2.5,2,100000,0,100,2,500,0,BFB,MINMAX,3,100,24,0,0.986842,0.013158,75
6,2,2.5,2,100000,0,100,2,700,0,BFB,MINMAX,3,100,29,0,0.971831,0.028169,69
6,2,2.5,2,10000,0,100,2,1000,0,BFB,MINMAX,3,100,19,0,1,0,81
6,2,2.5,2,10000,0,100,2,100,0,BFB,MINMAX,3,100,47,0,0.886792,0.113208,47
6,2,2.5,2,10000,0,100,2,5000,0,BFB,MINMAX,3,100,18,0,1,0,82
6,2,2.5,2,10000,0,100,2,500,0,BFB,MINMAX,3,100,21,0,0.974684,0.025316,77
